Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name
20374139,Electrical,Street Light Not Working,2023-07-17 07:23:00.000000000,Agaram,Closed,Antended,Durga Prasad/AEE
20374138,Electrical,Street Light Not Working,2023-07-17 07:22:00.000000000,Gurappanapalya,Closed,Attended,Umesh/AEE
20374137,Electrical,Street Light Not Working,2023-07-17 07:21:00.000000000,Ramamurthy Nagar,Closed,Attended,Sharath Kumar/AEE
20374136,Electrical,Street Light Not Working,2023-07-17 07:20:00.000000000,Sri Nagar,Closed,Attended,Jnanesh/AEE
20374135,Electrical,Street Light Not Working,2023-07-17 07:19:00.000000000,Vasanthapura,Closed,Attended,Sandeep/AEE
20374134,Electrical,Street Light Not Working,2023-07-17 07:19:00.000000000,Byatarayanapura,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374133,Electrical,Street Light Not Working,2023-07-17 07:17:00.000000000,C.V.Raman Nagar,Closed,Antended,Durga Prasad/AEE
20374132,Electrical,Street Light Not Working,2023-07-17 07:14:00.000000000,Rajarajeshwari Nagar,Closed,attended,Gavi Siddiah/AEE
20374131,Solid Waste (Garbage) Related,Garbage dump,2023-07-17 07:14:00.000000000,Banaswadi,Closed,Close,Mamatha M.S/AEE
20374130,Markets,Encroachment,2023-07-17 07:13:00.000000000,Kumaraswamy Layout,Closed,Resolved,B.T Shiva Kumar/ARO
20374129,Electrical,Street Light Not Working,2023-07-17 07:11:00.000000000,Hemmigepura,Closed,attended,Gavi Siddiah/AEE
20374128,Electrical,Street Light Not Working,2023-07-17 07:07:00.000000000,J.P.Park,Closed,attended,Gavi Siddiah/AEE
20374127,Electrical,Street Light Not Working,2023-07-17 07:06:00.000000000,Dattathreya Temple,Closed,ATTENDED,Suresh/AEE
20374126,Road Maintenance(Engg),footpath encroachment,2023-07-17 07:06:00.000000000,Sarvagna Nagar,Closed,Resolved,Shankarappa/AE
20374125,Solid Waste (Garbage) Related,Garbage dump,2023-07-17 07:06:00.000000000,Ramamurthy Nagar,Closed,Clear,Chandrakala K/JHI
20374124,Electrical,Street Light Not Working,2023-07-17 07:04:00.000000000,Doddanekkundi,Closed,Attended,Sharath Kumar/AEE
20374123,Electrical,Street Light Not Working,2023-07-17 07:03:00.000000000,Basavanapura,Closed,Attended,Sharath Kumar/AEE
20374122,Electrical,Street Light Not Working,2023-07-17 07:03:00.000000000,Mallasandra,Closed,Attended,Gurappa Y Doddamani/AEE
20374121,Forest,Removal of dead/fallen trees,2023-07-17 06:57:00.000000000,Vasanthapura,Registered,Transferred Task,Narendra Babu/RFO
20374120,Electrical,Street Light Not Working,2023-07-17 06:56:00.000000000,Dodda Bidarkallu,Closed,attended,Gavi Siddiah/AEE
20374119,Electrical,Street Light Not Working,2023-07-17 06:56:00.000000000,Binnipet,Closed,attended,Suresh/AEE
20374118,Solid Waste (Garbage) Related,Burning of Garbage in Open Space,2023-07-17 06:55:00.000000000,Kumaraswamy Layout,Closed,Complaint clear attended,Manjunatha T R/AEE
20374117,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-17 06:53:00.000000000,Someshwara,Closed,Cleared,SWM AEE Ward 1 to 4/AEE
20374116,Electrical,Street Light Not Working,2023-07-17 06:47:00.000000000,Bilekahalli,Closed,Attended,Sandeep/AEE
20374115,Road Maintenance(Engg),Potholes,2023-07-17 06:46:00.000000000,Sanjay Nagar,Closed,Complaint Resolved and Closed.,Madhav rao/AEE
20374114,Electrical,Street Light Not Working,2023-07-17 06:41:00.000000000,Horamavu,Closed,Attended,Sharath Kumar/AEE
20374113,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-17 06:39:00.000000000,Someshwara,Closed,Cleared,SWM AEE Ward 1 to 4/AEE
20374112,Electrical,Street Light Not Working,2023-07-17 06:37:00.000000000,Sarvagna Nagar,Closed,Antended,Durga Prasad/AEE
20374111,Road Maintenance(Engg),footpath encroachment,2023-07-17 06:35:00.000000000,Jogupalya,Closed,Resolved,MANJUNATH.T.D/AEE
20374110,Electrical,Street Light Not Working,2023-07-17 06:33:00.000000000,Ullalu,Closed,attended,Gavi Siddiah/AEE
20374109,Health Dept,Unhygienic premises in Hotel etc,2023-07-17 06:31:00.000000000,Arakere,Closed,Resolved,Dr. Nagendra /MOH
20374108,Solid Waste (Garbage) Related,Garbage dump,2023-07-17 06:29:00.000000000,Madiwala,Closed,Cleared,Santoshkumar/AEE
20374107,Electrical,Street Light Not Working,2023-07-17 06:27:00.000000000,Sudduguntepalya,Closed,Attended,Jnanesh/AEE
20374106,Electrical,Street Light Not Working,2023-07-17 06:26:00.000000000,Madiwala,Closed,Attended,Jnanesh/AEE
20374105,Health Dept,Spraying,2023-07-17 06:24:00.000000000,Padmanabha Nagar,Closed,RESOLVED,Dr Kalpana/MOH
20374104,Optical Fiber Cables (OFC),Without permission digging of road,2023-07-17 06:16:00.000000000,Rajagopala Nagar,Closed,Closed,Nagesh Murthy/AEE
20374103,Storm  Water Drain(SWD),Sewerage water left in SWD,2023-07-17 06:15:00.000000000,Singasandra,Closed,Closed,Uma Shankar /Nodel Officer
20374102,Town Planning,Construction not done as per approved plan (Building Bye Law Violations),2023-07-17 06:14:00.000000000,Gandhi Nagar,Closed,closed,Narayan Swami/ADTP
20374101,Electrical,Street Light Not Working,2023-07-17 06:14:00.000000000,Someshwara,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374100,Electrical,Street Light Not Working,2023-07-17 06:05:00.000000000,Mahalakshmipuram,Closed,ATTENDED,Suresh/AEE
20374099,Lakes,Lake not maintained properly,2023-07-17 06:04:00.000000000,Doddanekkundi,Closed,Attended.,Sapna.N.K/AEE
20374098,Town Planning,Construction not done as per approved plan (Building Bye Law Violations),2023-07-17 06:02:00.000000000,Gandhi Nagar,Closed,closed,Narayan Swami/ADTP
20374097,Electrical,Street Light Not Working,2023-07-17 05:59:00.000000000,Vidyaranyapura,Closed,Resolved,Yelahanka AEE Electrical/AEE
20374096,Electrical,Street Light Not Working,2023-07-17 05:57:00.000000000,Muneshwara Nagar,Closed,Attended,Sandeep Singh/AEE
20374095,Road Maintenance(Engg),Potholes,2023-07-17 05:52:00.000000000,Dodda Bidarkallu,Closed,X,Ramesh i/c/AEE
20374094,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-17 05:47:00.000000000,Byatarayanapura,Closed,Closed,Shivakumar/AEE
20374093,Electrical,Street Light Not Working,2023-07-17 05:45:00.000000000,Mathikere,Closed,attended,Suresh/AEE
20374092,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2023-07-17 05:44:00.000000000,Sudduguntepalya,Closed,Cleared,Santoshkumar/AEE
20374091,Forest,Issues related Snakes/Birds/Monkeys,2023-07-17 05:42:00.000000000,Rajarajeshwari Nagar,Closed,The Complaint has been resolved.,Jagadish V/DYRFO
